,prices,address,bed_num,home_type,city,zip_code,baths,sqft,state,zipcode,county
177,"$174,900",1581 Clark St,4.0, House for sale, Muskegon, MI 49442,2.0,1556.0,MI,49442,26121
178,"$299,900",1064 Owen Dr,3.0, House for sale, Petoskey, MI 49770,2.0,1560.0,MI,49770,26031
179,"$299,900",1064 Owen Dr,3.0, House for sale, Petoskey, MI 49770,2.0,1560.0,MI,49770,26047
180,"$299,900",1064 Owen Dr,3.0, House for sale, Petoskey, MI 49770,2.0,1560.0,MI,49770,26029
181,"$269,900",1013 Buckley Ave,4.0, House for sale, Petoskey, MI 49770,3.0,1583.0,MI,49770,26031
182,"$269,900",1013 Buckley Ave,4.0, House for sale, Petoskey, MI 49770,3.0,1583.0,MI,49770,26047
183,"$269,900",1013 Buckley Ave,4.0, House for sale, Petoskey, MI 49770,3.0,1583.0,MI,49770,26029
184,"$319,900",8597 Pickerel Lake Rd,3.0, House for sale, Petoskey, MI 49770,2.0,1484.0,MI,49770,26031
185,"$319,900",8597 Pickerel Lake Rd,3.0, House for sale, Petoskey, MI 49770,2.0,1484.0,MI,49770,26047
186,"$319,900",8597 Pickerel Lake Rd,3.0, House for sale, Petoskey, MI 49770,2.0,1484.0,MI,49770,26029
187,"$2,800,000",10611 Lighthouse Pt,5.0, House for sale, South Lyon, MI 48178,6.0,7000.0,MI,48178,26125
188,"$2,800,000",10611 Lighthouse Pt,5.0, House for sale, South Lyon, MI 48178,6.0,7000.0,MI,48178,26161
189,"$2,800,000",10611 Lighthouse Pt,5.0, House for sale, South Lyon, MI 48178,6.0,7000.0,MI,48178,26093
190,"$419,000",4145 Des Jardins Ln,4.0, House for sale, Howell, MI 48855,3.0,2480.0,MI,48855,26093
191,"$264,900",9687 Perry St,2.0, Condo for sale, Zeeland, MI 49464,2.0,1922.0,MI,49464,26139
192,"$264,900",9687 Perry St,2.0, Condo for sale, Zeeland, MI 49464,2.0,1922.0,MI,49464,26005
193,"$320,000",7358 Byron Rd,3.0, House for sale, Zeeland, MI 49464,2.0,1400.0,MI,49464,26139
194,"$320,000",7358 Byron Rd,3.0, House for sale, Zeeland, MI 49464,2.0,1400.0,MI,49464,26005
195,"$179,900",167 N Red Oak Rd,2.0, House for sale, Lewiston, MI 49756,2.0,1292.0,MI,49756,26137
196,"$179,900",167 N Red Oak Rd,2.0, House for sale, Lewiston, MI 49756,2.0,1292.0,MI,49756,26119
197,"$179,900",167 N Red Oak Rd,2.0, House for sale, Lewiston, MI 49756,2.0,1292.0,MI,49756,26039
198,"$179,900",167 N Red Oak Rd,2.0, House for sale, Lewiston, MI 49756,2.0,1292.0,MI,49756,26135
199,"$199,900",3866 Kneeland Rd,4.0, House for sale, Lewiston, MI 49756,2.0,1300.0,MI,49756,26137
200,"$199,900",3866 Kneeland Rd,4.0, House for sale, Lewiston, MI 49756,2.0,1300.0,MI,49756,26119
201,"$199,900",3866 Kneeland Rd,4.0, House for sale, Lewiston, MI 49756,2.0,1300.0,MI,49756,26039
202,"$199,900",3866 Kneeland Rd,4.0, House for sale, Lewiston, MI 49756,2.0,1300.0,MI,49756,26135
203,"$210,000",1419 Atkinson St,5.0, House for sale, Detroit, MI 48206,3.0,2564.0,MI,48206,26163
204,"$79,000",2447 W Philadelphia St,,"- bds5 ba3,610 sqft- Multi-family home for sale", Detroit, MI 48206,,,MI,48206,26163
205,"$239,900",8720 Wintergreen St,3.0, House for sale, Lansing, MI 48917,2.0,1496.0,MI,48917,26065
206,"$239,900",8720 Wintergreen St,3.0, House for sale, Lansing, MI 48917,2.0,1496.0,MI,48917,26045
207,"$34,900",807 Willard Dr,2.0, House for sale, Luther, MI 49656,1.0,1200.0,MI,49656,26085
208,"$275,000",1581 Honeybrook Dr,4.0, House for sale, Jenison, MI 49428,2.0,1620.0,MI,49428,26139
209,"$375,000",1339 Monte Carlo Dr,4.0, House for sale, Jenison, MI 49428,3.0,2106.0,MI,49428,26139
210,"$300,000",11420 W Grand River Ave,4.0, House for sale, Lowell, MI 49331,3.0,2252.0,MI,49331,26081
211,"$300,000",11420 W Grand River Ave,4.0, House for sale, Lowell, MI 49331,3.0,2252.0,MI,49331,26067
