zipcode,county
49408,26005
49421,26123
49421,26127
49894,26041
49946,26013
49614,26101
49753,26007
49863,26109
48878,26073
48808,26037
48860,26067
49019,26077
49616,26101
49616,26019
48908,26045
49070,26005
48009,26125
48047,26099
48065,26099
49230,26091
49230,26161
49230,26075
49220,26091
49220,26059
48318,26099
48138,26163
48629,26143
48861,26067
48861,26045
48835,26037
49011,26025
49011,26149
49011,26023
49011,26077
49339,26123
49339,26117
49908,26013
49448,26139
49448,26121
49501,26081
49807,26109
49807,26041
49728,26033
48614,26145
48614,26057
48435,26157
48435,26087
49060,26077
49060,26015
49916,26061
49518,26081
49788,26033
49347,26117
49347,26081
48627,26143
49883,26003
49883,26153
48885,26117
48674,26111
49075,26149
48710,26017
48049,26147
48003,26087
48360,26125
48375,26125
49202,26075
48315,26099
48162,26115
48439,26125
48439,26049
48412,26087
48640,26111
48661,26129
48654,26135
48654,26129
48708,26145
48708,26017
48731,26063
48849,26045
48849,26015
48849,26067
48877,26057
48877,26073
48877,26117
49058,26015
49046,26015
49099,26149
49099,26027
49938,26053
49680,26079
49744,26007
49887,26109
49861,26013
49861,26103
49235,26091
48818,26117
48818,26057
49679,26107
49679,26035
49679,26133
48361,26125
49003,26077
49918,26083
49104,26021
48072,26125
48096,26099
48090,26099
49271,26059
48234,26163
48314,26099
48239,26163
48135,26163
48109,26161
48136,26163
48438,26087
48438,26049
48703,26011
48883,26057
48883,26073
48883,26111
49079,26159
49129,26021
49096,26045
49410,26105
49534,26139
49534,26081
49642,26085
49682,26089
49459,26127
49459,26123
49821,26109
49248,26091
49443,26121
49262,26059
48475,26063
48475,26151
49825,26003
49902,26071
48426,26151
48426,26157
49872,26041
48480,26049
49865,26103
48066,26099
48092,26099
48356,26125
48328,26125
48532,26049
48227,26163
48113,26161
48220,26125
48650,26011
48650,26017
48846,26067
49095,26027
49128,26021
48912,26065
49402,26085
49402,26105
49402,26127
49305,26073
49305,26107
49969,26053
49905,26061
49670,26089
49689,26165
49689,26101
49512,26081
49450,26005
49735,26137
49233,26075
49233,26059
49233,26091
48720,26063
48742,26001
48890,26067
48890,26045
49965,26131
49965,26061
49668,26165
49668,26101
49736,26033
49126,26021
49734,26137
49826,26003
49627,26009
48550,26049
49673,26055
48331,26125
49246,26059
49246,26075
48509,26049
48519,26049
48607,26145
48313,26099
48237,26125
48185,26163
48463,26087
48463,26049
48455,26125
48455,26087
48419,26151
48811,26117
48811,26057
48837,26045
48837,26067
48837,26037
49303,26123
49303,26081
49303,26121
49087,26077
49087,26159
49087,26149
49012,26077
49012,26025
49012,26015
49326,26117
49326,26081
49315,26005
49315,26081
49315,26139
49329,26117
49329,26107
49329,26123
49508,26081
49455,26127
48343,26125
49204,26075
48232,26163
48806,26057
49041,26077
48641,26111
49971,26131
48743,26069
49084,26021
49335,26005
49416,26005
49317,26081
48025,26125
48043,26099
48084,26125
48097,26151
48097,26147
48327,26125
48362,26125
48506,26049
48613,26017
48613,26051
48613,26011
48625,26113
48625,26035
48723,26157
48768,26145
48768,26157
48801,26057
48801,26073
48855,26093
48822,26037
49327,26081
49327,26123
49327,26121
49321,26081
49920,26071
49920,26043
49651,26113
49620,26055
49620,26165
49653,26089
49519,26081
49516,26081
49829,26041
49730,26137
49730,26029
49730,26009
49287,26091
49287,26161
48761,26069
48761,26129
48761,26001
48761,26135
49076,26025
49076,26045
49701,26031
49701,26047
48456,26063
48456,26151
48754,26063
49050,26015
49406,26005
49515,26081
49766,26007
49886,26109
48830,26057
48288,26163
49560,26081
48023,26147
48060,26147
48005,26099
48071,26125
48081,26099
48063,26147
48069,26125
49276,26115
49276,26091
48173,26163
48127,26163
48099,26125
48446,26087
48197,26161
48879,26037
48879,26057
49085,26021
49130,26027
49301,26081
48933,26065
49032,26149
49404,26121
49404,26139
49958,26061
49958,26013
49799,26031
49799,26047
49749,26031
48841,26145
48841,26155
49034,26025
49034,26077
49644,26085
49644,26105
49644,26101
48465,26151
49029,26025
48608,26145
49960,26131
48667,26111
49261,26075
49927,26071
49864,26041
49510,26081
49239,26059
49761,26031
48956,26065
49413,26123
48353,26093
49255,26059
49255,26023
49270,26115
48310,26099
48192,26163
48158,26161
48158,26075
48457,26145
48457,26049
48421,26049
48421,26087
48445,26063
48473,26049
48649,26145
48649,26155
48662,26111
48662,26057
48804,26073
48851,26067
48832,26057
49042,26027
49042,26149
49112,26027
49008,26077
49031,26027
49401,26139
49306,26081
49418,26139
49418,26081
49629,26009
49645,26101
49631,26133
49631,26107
49442,26121
49862,26003
49876,26043
49264,26045
49264,26075
49264,26065
48745,26001
48745,26069
49756,26137
49756,26119
49756,26039
49756,26135
49116,26021
49312,26123
49805,26061
49805,26083
49782,26029
48735,26157
48735,26063
48747,26145
48747,26017
49852,26043
48333,26125
48437,26049
48853,26037
48175,26161
49819,26103
48042,26099
48002,26147
48334,26125
49266,26059
48307,26125
48401,26151
48213,26163
48207,26163
48642,26111
48642,26017
48750,26069
48750,26001
48843,26093
49092,26023
49092,26025
49040,26023
49040,26149
49043,26021
49043,26159
49002,26077
48917,26065
48917,26045
49643,26019
49643,26055
49612,26009
49612,26079
49446,26127
49452,26127
49715,26033
49817,26153
49817,26041
49854,26041
49854,26153
49288,26091
49288,26059
49625,26101
49625,26165
49915,26071
49723,26047
48924,26065
48610,26129
48610,26051
48610,26011
48195,26163
48126,26163
48098,26125
48130,26161
48433,26155
48433,26049
48216,26163
48224,26163
48726,26157
48726,26151
48726,26063
48624,26129
48624,26035
48624,26051
48624,26143
48763,26011
48763,26069
48628,26051
48628,26111
48888,26117
48886,26107
48886,26117
49097,26149
49097,26077
49017,26025
49017,26015
49403,26121
49403,26081
49403,26139
49405,26105
49968,26053
49657,26133
49657,26113
49885,26103
49885,26003
49268,26091
48191,26115
48191,26161
48106,26161
48151,26163
49340,26073
49340,26107
49835,26041
49259,26075
